date,price
2020-01-01,131.52
2020-01-02,127.44
2020-01-03,132.34
2020-01-04,133.93
2020-01-05,135.28
2020-01-06,141.5
2020-01-07,142.54
2020-01-08,139.12
2020-01-09,136.75
2020-01-10,142.96
2020-01-11,144.11
2020-01-12,144.53
2020-01-13,144.17
2020-01-14,163.72
2020-01-15,165.28
2020-01-16,163.23
2020-01-17,170.87
2020-01-18,176.46
2020-01-19,165.71
2020-01-20,167.04
2020-01-21,168.91
2020-01-22,167.55
2020-01-23,162.28
2020-01-24,163.1
2020-01-25,161.29
2020-01-26,167.11
2020-01-27,171.11
2020-01-28,172.37
2020-01-29,175.82
2020-01-30,184.77
2020-01-31,180.64
2020-02-01,182.3
2020-02-02,191.67
2020-02-03,189.48
2020-02-04,187.38
2020-02-05,206.36
2020-02-06,213.35
2020-02-07,219.42
2020-02-08,223.21
2020-02-09,225.2
2020-02-10,222.31
2020-02-11,237.2
2020-02-12,270.0
2020-02-13,262.8
2020-02-14,282.92
2020-02-15,268.28
2020-02-16,251.9
2020-02-17,260.41
2020-02-18,280.87
2020-02-19,262.99
2020-02-20,259.63
2020-02-21,263.06
2020-02-22,262.88
2020-02-23,271.7
2020-02-24,261.86
2020-02-25,249.9
2020-02-26,223.79
2020-02-27,226.19
2020-02-28,226.49
2020-02-29,223.51
2020-03-01,214.38
2020-03-02,232.68
2020-03-03,223.91
2020-03-04,222.8
2020-03-05,231.1
2020-03-06,240.83
2020-03-07,238.78
2020-03-08,209.61
2020-03-09,198.36
2020-03-10,202.76
2020-03-11,192.7
2020-03-12,128.64
2020-03-13,128.62
2020-03-14,127.62
2020-03-15,120.1
2020-03-16,109.21
2020-03-17,119.22
2020-03-18,116.41
2020-03-19,137.25
2020-03-20,125.21
2020-03-21,135.46
2020-03-22,124.2
2020-03-23,132.2
2020-03-24,139.86
2020-03-25,135.45
2020-03-26,136.79
2020-03-27,137.43
2020-03-28,131.17
2020-03-29,125.59
2020-03-30,134.04
2020-03-31,134.68
2020-04-01,132.33
2020-04-02,140.95
2020-04-03,140.69
2020-04-04,143.7
2020-04-05,142.49
2020-04-06,164.09
2020-04-07,163.62
2020-04-08,172.12
2020-04-09,170.73
2020-04-10,159.09
2020-04-11,154.72
2020-04-12,163.91
2020-04-13,156.73
2020-04-14,159.28
2020-04-15,157.77
2020-04-16,172.5
2020-04-17,170.84
2020-04-18,183.47
2020-04-19,181.7
2020-04-20,171.7
2020-04-21,172.61
2020-04-22,182.94
2020-04-23,189.12
2020-04-24,187.87
2020-04-25,194.4
2020-04-26,196.86
2020-04-27,193.67
2020-04-28,196.59
2020-04-29,217.0
2020-04-30,211.8
2020-05-01,209.77
2020-05-02,214.15
2020-05-03,207.98
2020-05-04,207.89
2020-05-05,205.4
2020-05-06,205.59
2020-05-07,211.62
2020-05-08,214.66
2020-05-09,212.07
2020-05-10,188.02
2020-05-11,186.65
2020-05-12,189.99
2020-05-13,198.3
2020-05-14,202.56
2020-05-15,193.24
2020-05-16,200.11
2020-05-17,208.06
2020-05-18,212.65
2020-05-19,212.41
2020-05-20,210.4
2020-05-21,199.05
2020-05-22,208.24
2020-05-23,208.02
2020-05-24,206.41
2020-05-25,204.9
2020-05-26,202.2
2020-05-27,206.29
2020-05-28,214.36
2020-05-29,219.97
2020-05-30,235.38
2020-05-31,235.7
2020-06-01,241.75
2020-06-02,236.64
2020-06-03,241.63
2020-06-04,241.91
2020-06-05,241.0
2020-06-06,242.17
2020-06-07,241.85
2020-06-08,242.1
2020-06-09,243.52
2020-06-10,247.75
2020-06-11,232.37
2020-06-12,237.67
2020-06-13,236.94
2020-06-14,234.12
2020-06-15,232.68
2020-06-16,233.73
2020-06-17,231.1
2020-06-18,229.06
2020-06-19,229.2
2020-06-20,227.58
2020-06-21,228.99
2020-06-22,244.65
2020-06-23,243.52
2020-06-24,234.6
2020-06-25,233.61
2020-06-26,230.27
2020-06-27,218.6
2020-06-28,224.85
2020-06-29,227.3
2020-06-30,225.47
2020-07-01,231.51
2020-07-02,226.29
2020-07-03,226.88
2020-07-04,229.21
2020-07-05,225.09
2020-07-06,238.25
2020-07-07,238.57
2020-07-08,246.24
2020-07-09,241.31
2020-07-10,239.29
2020-07-11,238.71
2020-07-12,238.76
2020-07-13,238.87
2020-07-14,241.35
2020-07-15,238.17
2020-07-16,232.61
2020-07-17,232.53
2020-07-18,236.35
2020-07-19,235.71
2020-07-20,236.4
2020-07-21,245.08
2020-07-22,245.92
2020-07-23,273.34
2020-07-24,286.37
2020-07-25,305.82
2020-07-26,310.92
2020-07-27,324.25
2020-07-28,319.74
2020-07-29,322.64
2020-07-30,339.11
2020-07-31,345.73
2020-08-01,386.82
2020-08-02,374.39
2020-08-03,390.64
2020-08-04,388.46
2020-08-05,400.58
2020-08-06,396.81
2020-08-07,378.01
2020-08-08,388.49
2020-08-09,393.23
2020-08-10,395.53
2020-08-11,373.99
2020-08-12,386.61
2020-08-13,409.8
2020-08-14,438.99
2020-08-15,432.5
2020-08-16,430.72
2020-08-17,437.85
2020-08-18,427.07
2020-08-19,404.4
2020-08-20,416.3
2020-08-21,395.03
2020-08-22,388.71
2020-08-23,392.69
2020-08-24,401.41
2020-08-25,377.4
2020-08-26,389.32
2020-08-27,379.69
2020-08-28,394.21
2020-08-29,405.21
2020-08-30,423.0
2020-08-31,432.33
2020-09-01,482.44
2020-09-02,436.64
2020-09-03,405.9
2020-09-04,391.78
2020-09-05,333.29
2020-09-06,351.89
2020-09-07,344.7
2020-09-08,335.66
2020-09-09,353.69
2020-09-10,365.39
2020-09-11,368.43
2020-09-12,383.27
2020-09-13,363.0
2020-09-14,376.32
2020-09-15,365.56
2020-09-16,365.71
2020-09-17,392.15
2020-09-18,380.61
2020-09-19,386.03
2020-09-20,369.6
2020-09-21,346.59
2020-09-22,344.85
2020-09-23,321.9
2020-09-24,345.66
2020-09-25,354.9
2020-09-26,353.68
2020-09-27,353.33
2020-09-28,362.73
2020-09-29,357.72
2020-09-30,356.64
2020-10-01,351.61
2020-10-02,346.32
2020-10-03,349.07
2020-10-04,351.55
2020-10-05,351.99
2020-10-06,337.25
2020-10-07,340.51
2020-10-08,351.65
2020-10-09,364.05
2020-10-10,374.58
2020-10-11,373.72
2020-10-12,387.64
2020-10-13,380.19
2020-10-14,376.73
2020-10-15,380.56
2020-10-16,366.6
2020-10-17,367.12
2020-10-18,375.92
2020-10-19,379.65
2020-10-20,368.66
2020-10-21,395.25
2020-10-22,417.8
2020-10-23,409.4
2020-10-24,412.01
2020-10-25,408.1
2020-10-26,392.9
2020-10-27,403.95
2020-10-28,385.94
2020-10-29,389.05
2020-10-30,384.31
2020-10-31,387.94
2020-11-01,396.63
2020-11-02,385.91
2020-11-03,383.35
2020-11-04,401.11
2020-11-05,413.65
2020-11-06,447.2
2020-11-07,435.58
2020-11-08,450.45
2020-11-09,447.9
2020-11-10,451.73
2020-11-11,467.16
2020-11-12,462.55
2020-11-13,472.28
2020-11-14,460.06
2020-11-15,444.0
2020-11-16,459.25
2020-11-17,480.99
2020-11-18,474.31
2020-11-19,472.98
2020-11-20,508.87
2020-11-21,544.31
2020-11-22,573.94
2020-11-23,606.93
2020-11-24,601.02
2020-11-25,578.49
2020-11-26,512.59
2020-11-27,515.87
2020-11-28,543.92
2020-11-29,566.54
2020-11-30,605.2
2020-12-01,604.51
2020-12-03,615.43
2020-12-04,581.81
2020-12-05,592.41
2020-12-06,599.42
2020-12-07,588.61
2020-12-08,566.01
2020-12-09,576.17
2020-12-10,563.66
2020-12-11,549.44
2020-12-12,570.91
2020-12-13,591.64
2020-12-14,586.06
2020-12-15,588.63
2020-12-16,629.38
2020-12-17,641.26
2020-12-18,651.36
2020-12-19,666.95
2020-12-20,634.8
2020-12-21,618.46
2020-12-22,622.83
2020-12-23,597.37
2020-12-24,605.1
2020-12-25,618.92
2020-12-26,647.0
2020-12-27,676.41
2020-12-28,726.77
2020-12-29,723.94
2020-12-30,749.13
2020-12-31,739.08
2021-01-01,729.99
2021-01-02,769.0
2021-01-03,950.5
2021-01-04,1008.06
2021-01-05,1086.64
2021-01-06,1183.71
2021-01-07,1251.5
2021-01-08,1190.64
2021-01-09,1292.24
2021-01-10,1269.99
2021-01-11,1035.1
2021-01-12,1078.26
2021-01-13,1126.3
2021-01-14,1189.0
2021-01-15,1160.75
2021-01-16,1228.99
2021-01-17,1260.64
2021-01-18,1234.03
2021-01-19,1410.55
2021-01-20,1323.76
2021-01-21,1174.95
2021-01-22,1243.67
2021-01-23,1248.5
2021-01-24,1353.24
2021-01-25,1345.18
2021-01-26,1335.01
2021-01-27,1275.28
2021-01-28,1350.38
2021-01-29,1375.79
2021-01-30,1385.72
2021-01-31,1296.0
2021-02-01,1348.97
2021-02-02,1516.43
2021-02-03,1633.45
2021-02-04,1642.51
2021-02-05,1721.71
2021-02-06,1710.88
2021-02-07,1602.5
2021-02-08,1702.98
2021-02-09,1769.73
2021-02-10,1727.99
2021-02-11,1769.92
2021-02-12,1851.59
2021-02-13,1814.5
2021-02-14,1828.54
2021-02-15,1792.02
2021-02-16,1753.24
2021-02-17,1854.0
2021-02-18,1944.68
2021-02-19,1957.91
2021-02-20,1968.81
2021-02-21,1922.8
2021-02-22,1799.77
2021-02-23,1539.99
2021-02-24,1591.57
2021-02-25,1526.11
2021-02-26,1429.31
2021-02-27,1507.11
2021-02-28,1416.12
2021-03-01,1547.0
2021-03-02,1467.94
2021-03-03,1595.02
2021-03-04,1516.45
2021-03-05,1535.09
2021-03-06,1642.7
2021-03-07,1664.0
2021-03-08,1790.92
2021-03-09,1825.0
2021-03-10,1816.73
2021-03-11,1840.5
2021-03-12,1758.32
2021-03-13,1911.71
2021-03-14,1876.05
2021-03-15,1791.32
2021-03-16,1797.41
2021-03-17,1817.47
2021-03-18,1774.49
2021-03-19,1817.85
2021-03-20,1827.61
2021-03-21,1800.0
2021-03-22,1678.35
2021-03-23,1672.34
2021-03-24,1615.01
2021-03-25,1603.41
2021-03-26,1664.68
2021-03-27,1718.5
2021-03-28,1667.28
2021-03-29,1806.4
2021-03-30,1840.99
2021-03-31,1940.0
2021-04-01,1969.99
2021-04-02,2092.13
2021-04-03,2061.32
2021-04-04,2061.67
2021-04-05,2104.42
2021-04-06,2122.45
2021-04-07,1983.56
2021-04-08,2054.91
2021-04-09,2070.83
2021-04-10,2090.86
2021-04-11,2144.51
2021-04-12,2145.92
2021-04-13,2301.0
2021-04-14,2369.54
2021-04-15,2499.5
2021-04-16,2460.83
2021-04-17,2390.93
2021-04-18,2226.09
2021-04-19,2206.66
2021-04-20,2307.28
2021-04-21,2405.01
2021-04-22,2408.0
2021-04-23,2323.83
2021-04-24,2295.99
2021-04-25,2214.89
2021-04-26,2463.0
2021-04-27,2649.25
2021-04-28,2708.01
2021-04-29,2712.8
2021-04-30,2763.92
2021-05-01,2949.51
2021-05-02,2969.0
2021-05-03,3288.0
2021-05-04,3409.65
2021-05-05,3467.44
2021-05-06,3467.85
2021-05-07,3501.77
2021-05-08,3852.0
2021-05-09,3909.82
2021-05-10,3899.32
2021-05-11,4140.0
2021-05-12,4104.21
2021-05-13,3714.2
2021-05-14,3990.47
2021-05-15,3794.99
2021-05-16,3360.34
2021-05-17,3440.1
2021-05-18,3434.23
2021-05-19,2535.67
2021-05-20,2761.8
2021-05-21,2248.8
2021-05-22,2356.38
2021-05-23,2073.14
2021-05-24,2623.97
2021-05-25,2552.11
2021-05-26,2791.65
2021-05-27,2725.92
2021-05-28,2424.99
2021-05-29,2237.97
2021-05-30,2437.73
2021-05-31,2595.82
2021-06-01,2577.58
2021-06-02,2723.52
2021-06-03,2819.99
2021-06-04,2702.23
2021-06-05,2627.47
2021-06-06,2706.96
2021-06-07,2651.31
2021-06-08,2537.01
2021-06-09,2563.27
